Numbered Topic,Topic,Subtopic,Subsubtopic,Learning Outcome,Code
022.Optics,Optics,Geometric optics,Subtopic outcome,Describe the image created by different instruments and calculate their magnifications,22.5.1.8
022.Optics,Optics,Geometric optics,Plane mirrors,Describe how an image is formed by a plane mirror.,22.5.2.0
022.Optics,Optics,Geometric optics,Plane mirrors,Find the location and characterize the orientation of an image created by a plane mirror.,22.5.2.1
022.Optics,Optics,Geometric optics,Spherical mirrors,Describe image formation by spherical mirrors.,22.5.3.0
022.Optics,Optics,Geometric optics,Spherical mirrors,Use ray diagrams and the mirror equation to calculate the properties of an image in a spherical mirror.,22.5.3.1
022.Optics,Optics,Geometric optics,Refracting surfaces,Describe image formation by a single refracting surface.,22.5.4.0
022.Optics,Optics,Geometric optics,Refracting surfaces,Determine the location of an image and calculate its properties by using the equation for a single refracting surface.,22.5.4.1
022.Optics,Optics,Geometric optics,Thin lenses,Use ray diagrams to locate and describe the image formed by a lens,22.5.5.0
022.Optics,Optics,Geometric optics,Thin lenses,Employ the thin-lens equation to describe and locate the image formed by a lens,22.5.5.1
023.Relativity,Relativity,Topic Outcomes,,Describe the theoretical and experimental issues that Einstein’s theory of special relativity addressed.,23.1.1.0
023.Relativity,Relativity,Topic Outcomes,,State the two postulates of the special theory of relativity.,23.1.1.1
023.Relativity,Relativity,Simultaneity,,Show from Einstein's postulates that two events measured as simultaneous in one inertial frame are not necessarily simultaneous in all inertial frames.,23.2.1.0
023.Relativity,Relativity,Simultaneity,,Describe how simultaneity is a relative concept for observers in different inertial frames in relative motion.,23.2.1.1
023.Relativity,Relativity,Time dilation,,Explain how time intervals can be measured differently in different reference frames.,23.3.1.0
023.Relativity,Relativity,Time dilation,,Describe how to distinguish a proper time interval from a dilated time interval.,23.3.1.1
023.Relativity,Relativity,Time dilation,,Describe the significance of the muon experiment.,23.3.1.2
023.Relativity,Relativity,Time dilation,,Explain why the twin paradox is not a contradiction.,23.3.1.3
023.Relativity,Relativity,Time dilation,,Calculate time dilation given the speed of an object in a given frame.,23.3.1.4
023.Relativity,Relativity,Length contraction,,Explain how simultaneity and length contraction are related.,23.4.1.0
023.Relativity,Relativity,Length contraction,,Describe the relation between length contraction and time dilation and use it to derive the length-contraction equation.,23.4.1.1
023.Relativity,Relativity,Lorentz transformation,,"Describe the Galilean transformation of classical mechanics, relating the position, time, velocities, and accelerations measured in different inertial frames.",23.5.1.0
023.Relativity,Relativity,Lorentz transformation,,"Derive the corresponding Lorentz transformation equations, which, in contrast to the Galilean transformation, are consistent with special relativity.",23.5.1.1
023.Relativity,Relativity,Lorentz transformation,,Explain the Lorentz transformation and many of the features of relativity in terms of four-dimensional space-time.,23.5.1.2
023.Relativity,Relativity,Velocity transformation,,Derive the equations consistent with special relativity for transforming velocities in one inertial frame of reference into another.,23.6.1.0
023.Relativity,Relativity,Velocity transformation,,Apply the velocity transformation equations to objects moving at relativistic speeds.,23.6.1.1
023.Relativity,Relativity,Velocity transformation,,Examine how the combined velocities predicted by the relativistic transformation equations compare with those expected classically.,23.6.1.2
023.Relativity,Relativity,Relativistic doppler shift,,Explain the origin of the shift in frequency and wavelength of the observed wavelength when observer and source moved toward or away from each other.,23.7.1.0
023.Relativity,Relativity,Relativistic doppler shift,,Derive an expression for the relativistic Doppler shift.,23.7.1.1
023.Relativity,Relativity,Relativistic doppler shift,,Apply the Doppler shift equations to real-world examples.,23.7.1.2
023.Relativity,Relativity,Relativistic momentum,,Define relativistic momentum in terms of mass and velocity.,23.8.1.0
023.Relativity,Relativity,Relativistic momentum,,Show how relativistic momentum relates to classical momentum.,23.8.1.1
023.Relativity,Relativity,Relativistic momentum,,Show how conservation of relativistic momentum limits objects with mass to speeds less than c.,23.8.1.2
023.Relativity,Relativity,Relativistic energy,,Explain how the work-energy theorem leads to an expression for the relativistic kinetic energy of an object.,23.9.1.0
023.Relativity,Relativity,Relativistic energy,,"Show how the relativistic energy relates to the classical kinetic energy, and sets a limit on the speed of any object with mass.",23.9.1.1
023.Relativity,Relativity,Relativistic energy,,Describe how the total energy of a particle is related to its mass and velocity.,23.9.1.2
023.Relativity,Relativity,Relativistic energy,,"Explain how relativity relates to energy-mass equivalence, and some of the practical implications of energy-mass equivalence.",23.9.1.3
024.Quantum mechanics,Quantum mechanics,Topic outcome,,Paste un-numbered outcome here,24.1.1.0
024.Quantum mechanics,Quantum mechanics,Topic outcome,,Paste un-numbered outcome here,24.1.1.1
024.Quantum mechanics,Quantum mechanics,Wave function,,Describe the statistical interpretation of the wave function.,24.2.1.0
024.Quantum mechanics,Quantum mechanics,Wave function,,Use the wave function to determine probabilities.,24.2.1.1
024.Quantum mechanics,Quantum mechanics,Wave function,,"Calculate expectation values of position, momentum, and kinetic energy.",24.2.1.2
024.Quantum mechanics,Quantum mechanics,Heisenberg uncertainty principle,,Describe the physical meaning of the position-momentum uncertainty relation.,24.3.1.0
024.Quantum mechanics,Quantum mechanics,Heisenberg uncertainty principle,,Explain the origins of the uncertainty principle in quantum theory.,24.3.1.1
024.Quantum mechanics,Quantum mechanics,Heisenberg uncertainty principle,,Describe the physical meaning of the energy-time uncertainty relation.,24.3.1.2
024.Quantum mechanics,Quantum mechanics,Schrodinger equation,,Describe the role Schrӧdinger’s equation plays in quantum mechanics.,24.4.1.0
024.Quantum mechanics,Quantum mechanics,Schrodinger equation,,Explain the difference between time-dependent and -independent Schrӧdinger’s equations.,24.4.1.1
024.Quantum mechanics,Quantum mechanics,Schrodinger equation,,Interpret the solutions of Schrӧdinger’s equation.,24.4.1.2
024.Quantum mechanics,Quantum mechanics,Stationary states,Subtopic outcome,Describe how to set up a boundary-value problem for the stationary Schrӧdinger equation.,24.5.1.0
024.Quantum mechanics,Quantum mechanics,Stationary states,Subtopic outcome,Describe the physical meaning of stationary solutions to Schrӧdinger’s equation and the connection of these solutions with time-dependent quantum states.,24.5.1.1
024.Quantum mechanics,Quantum mechanics,Stationary states,Infinite square well,Explain why the energy of a quantum particle in a box is quantized.,24.5.2.0
024.Quantum mechanics,Quantum mechanics,Stationary states,Infinite square well,Explain the physical meaning of Bohr’s correspondence principle.,24.5.2.1
024.Quantum mechanics,Quantum mechanics,Stationary states,Harmonic oscillator,Describe the model of the quantum harmonic oscillator.,24.5.3.0
024.Quantum mechanics,Quantum mechanics,Stationary states,Harmonic oscillator,Identify differences between the classical and quantum models of the harmonic oscillator.,24.5.3.1
024.Quantum mechanics,Quantum mechanics,Stationary states,Harmonic oscillator,Explain physical situations where the classical and the quantum models coincide.,24.5.3.2
024.Quantum mechanics,Quantum mechanics,Quantum tunneling,,Describe how a quantum particle may tunnel across a potential barrier,24.6.1.0
024.Quantum mechanics,Quantum mechanics,Quantum tunneling,,Identify important physical parameters that affect the tunneling probability,24.6.1.1
024.Quantum mechanics,Quantum mechanics,Quantum tunneling,,Identify the physical phenomena where quantum tunneling is observed,24.6.1.2
024.Quantum mechanics,Quantum mechanics,Quantum tunneling,,Explain how quantum tunneling is utilized in modern technologies,24.6.1.3
025.Atomic structure,Atomic structure,Topic outcome,,Paste un-numbered outcome here,25.1.1.0
025.Atomic structure,Atomic structure,Topic outcome,,Paste un-numbered outcome here,25.1.1.1
025.Atomic structure,Atomic structure,Hydrogen atom,,"Describe the hydrogen atom in terms of wave function, probability density, total energy, and orbital angular momentum.",25.2.1.0
025.Atomic structure,Atomic structure,Hydrogen atom,,"Identify the physical significance of each of the quantum numbers (n,l,m) of the hydrogen atom.",25.2.1.1
025.Atomic structure,Atomic structure,Hydrogen atom,,Distinguish between the Bohr and Schrödinger models of the atom.,25.2.1.2
025.Atomic structure,Atomic structure,Hydrogen atom,,Use quantum numbers to calculate important information about the hydrogen atom.,25.2.1.3
025.Atomic structure,Atomic structure,Magnetic dipole moment,,Explain why the hydrogen atom has magnetic properties.,25.3.1.0
025.Atomic structure,Atomic structure,Magnetic dipole moment,,Explain why the energy levels of a hydrogen atom associated with orbital angular momentum are split by an external magnetic field.,25.3.1.1
025.Atomic structure,Atomic structure,Magnetic dipole moment,,Use quantum numbers to calculate the magnitude and direction of the orbital magnetic dipole moment of a hydrogen atom.,25.3.1.2
025.Atomic structure,Atomic structure,Electron spin,,Express the state of an electron in a hydrogen atom in terms of five quantum numbers.,25.4.1.0
025.Atomic structure,Atomic structure,Electron spin,,Use quantum numbers to calculate the magnitude and direction of the spin and magnetic moment of an electron.,25.4.1.1
025.Atomic structure,Atomic structure,Electron spin,,Explain the fine and hyperfine structure of the hydrogen spectrum in terms of magnetic interactions inside the hydrogen atom.,25.4.1.2
025.Atomic structure,Atomic structure,Exclusion principle,,Explain the importance of Pauli’s exclusion principle to an understanding of atomic structure and molecular bonding.,25.5.1.0
025.Atomic structure,Atomic structure,Periodic table,,"Explain the structure of the periodic table in terms of the total energy, orbital angular momentum, and spin of individual electrons in an atom.",25.6.1.0
025.Atomic structure,Atomic structure,Periodic table,,Describe the electron configuration of atoms in the periodic table.,25.6.1.1
025.Atomic structure,Atomic structure,Lasers,,Describe the physical processes necessary to produce laser light.,25.7.1.0
025.Atomic structure,Atomic structure,Lasers,,Explain the difference between coherent and incoherent light.,25.7.1.1
025.Atomic structure,Atomic structure,Lasers,,Describe the application of lasers to a CD and Blu-Ray player.,25.7.1.2
025.Atomic structure,Atomic structure,Atomic spectra,,Describe the absorption and emission of radiation in terms of atomic energy levels and energy differences.,25.8.1.0
025.Atomic structure,Atomic structure,Atomic spectra,,"Use quantum numbers to estimate the energy, frequency, and wavelength of photons produced by atomic transitions in multi-electron atoms.",25.8.1.1
025.Atomic structure,Atomic structure,Atomic spectra,,Explain radiation concepts in the context of atomic fluorescence and X-rays.,25.8.1.2
026.Condensed matter physics,Condensed matter physics,Topic outcome,,Paste un-numbered outcome here,26.1.1.0
026.Condensed matter physics,Condensed matter physics,Topic outcome,,Paste un-numbered outcome here,26.1.1.1
026.Condensed matter physics,Condensed matter physics,Molecular bonds,,Distinguish between the different types of molecular bonds.,26.2.1.0
026.Condensed matter physics,Condensed matter physics,Molecular bonds,,"Determine the dissociation energy of a molecule using the concepts ionization energy, electron affinity, and Coulomb force.",26.2.1.1
026.Condensed matter physics,Condensed matter physics,Molecular bonds,,Describe covalent bonding in terms of exchange symmetry.,26.2.1.2
026.Condensed matter physics,Condensed matter physics,Molecular bonds,,Explain the physical structure of a molecule in terms of the concept of hybridization.,26.2.1.3
026.Condensed matter physics,Condensed matter physics,Molecular spectra,,Use the concepts of vibrational and rotational energy to describe energy transitions in a diatomic molecule.,26.3.1.0
026.Condensed matter physics,Condensed matter physics,Molecular spectra,,Explain key features of a vibrational-rotational energy spectrum of a diatomic molecule.,26.3.1.1
026.Condensed matter physics,Condensed matter physics,Molecular spectra,,Estimate allowed energies of a rotating molecule.,26.3.1.2
026.Condensed matter physics,Condensed matter physics,Molecular spectra,,Determine the equilibrium separation distance between atoms in a diatomic molecule from the vibrational-rotational absorption spectrum.,26.3.1.3
026.Condensed matter physics,Condensed matter physics,Bonding in crystalline solids,,Describe the packing structures of common solids.,26.4.1.0
026.Condensed matter physics,Condensed matter physics,Bonding in crystalline solids,,Explain the difference between bonding in a solid and in a molecule.,26.4.1.1
026.Condensed matter physics,Condensed matter physics,Bonding in crystalline solids,,Determine the equilibrium separation distance given crystal properties.,26.4.1.2
026.Condensed matter physics,Condensed matter physics,Bonding in crystalline solids,,Determine the dissociation energy of a salt given crystal properties.,26.4.1.3
026.Condensed matter physics,Condensed matter physics,Free electron model of metals,,Describe the classical free electron model of metals in terms of the concept electron number density.,26.5.1.0
026.Condensed matter physics,Condensed matter physics,Free electron model of metals,,Explain the quantum free-electron model of metals in terms of Pauli’s exclusion principle.,26.5.1.1
026.Condensed matter physics,Condensed matter physics,Free electron model of metals,,Calculate the energy levels and energy-level spacing of a free electron in a metal.,26.5.1.2
026.Condensed matter physics,Condensed matter physics,Band theory of solids,,Describe two main approaches to determining the energy levels of an electron in a crystal.,26.6.1.0
026.Condensed matter physics,Condensed matter physics,Band theory of solids,,Explain the presence of energy bands and gaps in the energy structure of a crystal.,26.6.1.1
026.Condensed matter physics,Condensed matter physics,Band theory of solids,,Explain why some materials are good conductors and others are good insulators.,26.6.1.2
026.Condensed matter physics,Condensed matter physics,Band theory of solids,,Differentiate between an insulator and a semiconductor.,26.6.1.3
026.Condensed matter physics,Condensed matter physics,Semiconductors,Subtopic outcome,Distinguish between an n-type and p-type semiconductor.,26.7.1.0
026.Condensed matter physics,Condensed matter physics,Semiconductors,Subtopic outcome,Describe the Hall effect and explain its significance.,26.7.1.1
026.Condensed matter physics,Condensed matter physics,Semiconductors,Subtopic outcome,"Calculate the charge, drift velocity, and charge carrier number density of a semiconductor using information from a Hall effect experiment.",26.7.1.2
026.Condensed matter physics,Condensed matter physics,Semiconductors,Doping,Describe changes to the energy structure of a semiconductor due to doping.,26.7.2.0
026.Condensed matter physics,Condensed matter physics,Semiconductors,Semiconductor devices,Describe what occurs when n- and p-type materials are joined together using the concept of diffusion and drift current (zero applied voltage).,26.7.3.0
026.Condensed matter physics,Condensed matter physics,Semiconductors,Semiconductor devices,Explain the response of a p-n junction to a forward and reverse bias voltage.,26.7.3.1
026.Condensed matter physics,Condensed matter physics,Semiconductors,Semiconductor devices,Describe the function of a transistor in an electric circuit.,26.7.3.2
026.Condensed matter physics,Condensed matter physics,Semiconductors,Semiconductor devices,Use the concept of a p-n junction to explain its applications in audio amplifiers and computers.,26.7.3.3
026.Condensed matter physics,Condensed matter physics,Superconductivity,,Describe the main features of a superconductor.,26.8.1.0
026.Condensed matter physics,Condensed matter physics,Superconductivity,,Describe the BCS theory of superconductivity.,26.8.1.1
026.Condensed matter physics,Condensed matter physics,Superconductivity,,Determine the critical magnetic field for T = 0 K from magnetic field data.,26.8.1.2
026.Condensed matter physics,Condensed matter physics,Superconductivity,,Calculate the maximum emf or current for a wire to remain superconducting.,26.8.1.3
